"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
body_type_woman;dp_next;;descriptive;"Nedenfor ses en række figurer, der illustrerer forskellige kropsbygninger:";;;;;;;"([gender] = '2')";;;;;;
body_number;dp_next;;radio;"Sæt markering ved det nummer, der kommer tættest på din kropsbygning ud fra ovenstående illustrationer: ";"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9";;;;;;"([gender] = '2') or ([gender] = '1')";;LV;;;;
ses_social_intro;dp_next;"<div class=""rich-text-field-label""><div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Social status</span></p></div></div>";descriptive;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Forestil dig, at nedenstående skala repræsenterer <span style=""text-decoration: underline;"">den sociale rangstige i Danmark</span>. Skalaen går fra</span> 1 til 10. 1 <span style=""font-weight: normal;"">er dem med færrest penge, lavest uddannelse og mindst prestigefyldte jobs.</span> 10 <span style=""font-weight: normal;"">er dem med flest penge, højest uddannelse og mest prestigefyldte jobs. <span style=""text-decoration: underline;"">Jo højere tal, desto højere social status.</span></span></p></div>";;;;;;;;;;;;;"Descriptive intro text"
ses_dk_slider;dp_next;;slider;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Hvor vil du placere dig selv på denne skala på nuværende tidspunkt i dit liv</span> sammenlignet med Danmarks øvrige befolkning?</p></div>";"1 (laveste sociale rang) |  | 10 (højeste sociale rang)";;number;1;10;;;;LV;;;;"the participant's self-perceived SES"
delphi_ses_status_local;dp_next;;descriptive;"Forestil dig nu, at skalaen er en repræsentation af placering på den sociale rangstige i dit lokalsamfund.";;;;;;;;;;;;;"perceived local SES"
ses_lokal_slider;dp_next;;slider;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Hvor vil du placere dig selv på skalaen på nuværende tidspunkt i dit liv </span>sammenlignet med andre i dit lokalsamfund?</p></div>";"1 (laveste sociale rang) |  | 10 (højeste sociale rang)";;number;1;10;;;;LV;;;;"the participant's self-perceived SES comparet to the local community"
self_rate_end;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Alkoholforbrug</span></p></div>";text;;;;datetime_seconds_dmy;;;;;;;;;;" @HIDDEN-SURVEY @NOW"
compl_time_self_rate;dp_next;;calc;;"datediff([sf12v2_end],[self_rate_end],""s"",true)";;;;;;;;;;;;" @HIDDEN-SURVEY"
alc_intro;dp_next;;descriptive;"Følgende spørgsmål omhandler dit forbrug af alkohol. ";;;;;;;;;;;;;
alc_12mo;dp_next;;radio;"Har du drukket alkohol inden for de seneste 12 måneder?";"1, Ja | 0, Nej";;;;;;;;LV;;;;
alc_days_per_week;dp_next;;radio;"Hvor mange dage om ugen drikker du alkohol?";"0, Mindre end en dag om ugen | 1, 1 dag om ugen | 2, 2 dage om ugen | 3, 3 dage om ugen | 4, 4 dage om ugen | 5, 5 dage om ugen | 6, 6 dage om ugen | 7, 7 dage om ugen";;;;;;"([alc_12mo]=1) and ([participate] = '1')";;LV;;;;"The number of days per week the participant usually consumes alcohol."
alc_mon;dp_next;;text;;;;integer;0;40;;;;;;;;
alc_tue;dp_next;;text;;;;integer;0;40;;;;;;;;
alc_wed;dp_next;;text;;;;integer;0;40;;;;;;;;
alc_thu;dp_next;;text;;;;integer;0;40;;;;;;;;
alc_fri;dp_next;;text;;;;integer;0;40;;;;;;;;
alc_sat;dp_next;;text;;;;integer;0;40;;;;;;;;
alc_sun;dp_next;;text;;;;integer;0;40;;;;;;;;
alc_per_week;dp_next;;descriptive;"<div class=""rich-text-field-label""><div style=""margin-bottom: 8px;"">  <strong>Hvor mange genstande drikker du typisk på hver af dagene i løbet af ugen?</strong><br><span style=""font-weight: normal;"">  Start med mandag og tag en dag ad gangen (udfyld alle felter - også selvom svaret er 0).</span></div> <div class=""alcwrap"">   <br>  <table class=""alctable""> <tbody> <tr> <th>Dag</th> <th>Antal genstande</th> </tr> <tr> <td class=""day"">Mandag</td> <td class=""val"">{alc_mon}</td> </tr> <tr> <td class=""day"">Tirsdag</td> <td class=""val"">{alc_tue}</td> </tr> <tr> <td class=""day"">Onsdag</td> <td class=""val"">{alc_wed}</td> </tr> <tr> <td class=""day"">Torsdag</td> <td class=""val"">{alc_thu}</td> </tr> <tr> <td class=""day"">Fredag</td> <td class=""val"">{alc_fri}</td> </tr> <tr> <td class=""day"">Lørdag</td> <td class=""val"">{alc_sat}</td> </tr> <tr> <td class=""day"">Søndag</td> <td class=""val"">{alc_sun}</td> </tr> </tbody> </table> <div class=""alcinfo"">   <div class=""hdr"">Hvad er 1 genstand?</div> <br> <ul class=""bul""> <li><span style=""font-weight: normal;"">1 almindelig øl / 1 cider    </span></li> <li><span style=""font-weight: normal;"">1 glas rød-/hvidvin    </span></li> <li><span style=""font-weight: normal;"">1 glas hedvin     </span></li> <li><span style=""font-weight: normal;"">1 drink/cocktail   </span></li> <li><span style=""font-weight: normal;"">1 snaps/shot   </span></li> <li><span style=""font-weight: normal;"">1 alkoholsodavand </span>  </li> </ul> <p>  Flasker (ca.)</p> <ul class=""bul""> <li><span style=""font-weight: normal;"">1 flaske rød-/hvidvin = 6 genstand</span></li> <li><span style=""font-weight: normal;"">1 flaske hedvin = 10 genstande</span></li> <li><span style=""font-weight: normal;"">1 flaske spiritus = 20 genstande</span></li> </ul> </div> </div></div>";;"angiv antal genstande for en normal uge";;;;;"([alc_12mo]='1') and ([participate]='1') and ([alc_days_per_week] <> '0')";;;;;;
alc_freq_per_occa;dp_next;;radio;"Hvor tit drikker du ved en enkelt lejlighed 5 genstande eller flere?";"1, Næsten dagligt eller dagligt | 2, Ugentligt | 3, Månedligt | 4, Sjældent | 5, Aldrig";;;;;;"([alc_12mo] = '1') and ([participate] = '1')";;LV;;;;"Information on how often the participant consumes five or more drinks on a single occasion."
alc_want_lower;dp_next;;radio;"Vil du gerne nedsætte dit alkoholforbrug?";"1, ja | 0, nej | 99, ved ikke";;;;;;"([alc_days_per_week] = '1' or [alc_days_per_week] = '2' or [alc_days_per_week] = '3' or [alc_days_per_week] = '4' or [alc_days_per_week] = '5' or [alc_days_per_week] = '6' or [alc_days_per_week] = '7') and ([participate] = '1')";;LV;;;;
alc_bad_health;dp_next;;radio;"Vil du vurdere, at dit alkoholforbrug er skadeligt for dit helbred?";"2, Ja, meget|1, Ja, lidt|0, Nej|99, ved ikke";;;;;;"([alc_12mo] = '1') and ([participate] = '1')";;LV;;;;
alc_prev_daily_use;dp_next;;radio;"Har du tidligere i dit liv haft en periode, hvor du drak væsentligt mere alkohol end du gør nu?";"1, Ja | 0, Nej";;;;;;"([alc_12mo] = '0') and ([participate] = '1')";;LV;;;;"Information on whether the participant has previously had a daily alcohol consumption."
alc_per_week_earlier;dp_next;;text;"I den periode hvor du havde dit højeste alkoholforbrug - Hvor mange genstande drak du så på en typisk uge?";;"angiv antal genstande for en normal uge";number;0;100;;"([alc_prev_daily_use] = '1') and ([participate] = '1')";;LV;;;;
